IsAffirmative,Utterance
0,The hospital is owned by the Archdioceses of
0,There aren't hotels?
0,They've come for my car
0,They've started the battle without me!
0,Three of a kind...
0,Time for this old boy to enjoy some repose
0,Ugh!
0,uh uh
1,uh huh
0,uh-uh
0,Ulrich will be about.  He'll look after you
0,unlikely
0,Used you?
1,want
0,WE are over
0,What in the world would make you think i would agree to that
0,What is it now?
0,What'll it be?
0,What's she singing about?
0,when hell freezes over
0,When in the course of human events
0,Why even bother asking?
0,why would i
0,why would i
0,why would i allow that
0,why would i do that
0,why would i let you do that
0,Why would you ask me that
1,why wouldn't I
1,with pleasure
0,Worst ask ever
0,worst.idea.evar
1,Y
1,y
1,ya
1,"yeah, sure"
1,yeppers
1,Yes
1,yes
1,yes i will
0,Yes there are aren't there
0,You follow my car
0,You get to come alive again in the country!
0,you lie
0,You must take me for a real idiot
0,You okay honey?
0,You promise not to say anything?
0,you shall be avenged
0,You want to bet?
0,Your kids never cry
1,TRUE
